Name,Category,Type,Version,Developer/BundleID,Drive,Install_Path
AudioMemos,macOS Applications,Application,Unknown,Unknown,Internal M2 Ultra,/Applications/AudioMemos.app
App for Google Maps,macOS Applications,Application,1.1.2,com.lapps.mapsplus,Internal M2 Ultra,/Applications/App for Google Maps.app
Linearity Curve,macOS Applications,Application,6.12.0,com.linearity.vn,Internal M2 Ultra,/Applications/Linearity Curve.app
Google Chrome Beta,macOS Applications,Application,155.0.8059.12,com.google.Chrome.beta,Internal M2 Ultra,/Applications/Google Chrome Beta.app
Wappalyzer - Technology profiler,macOS Applications,Application,6.10.67,com.wappalyzer.Wappalyzer,Internal M2 Ultra,/Applications/Wappalyzer - Technology profiler.app
Spark,macOS Applications,Application,2.11.67,com.readdle.smartemail-Mac,Internal M2 Ultra,/Applications/Spark.app
App Box,macOS Applications,Application,Unknown,Unknown,Internal M2 Ultra,/Applications/App Box.app
LocalizeKit,macOS Applications,Application,1.1.3,com.mnm.localizeKit,Internal M2 Ultra,/Applications/LocalizeKit.app
websitepublisher-connect,macOS Applications,Application,2.2.0,ai.websitepublisher.connect,Internal M2 Ultra,/Applications/websitepublisher-connect.app
Proton Authenticator,macOS Applications,Application,Unknown,Unknown,Internal M2 Ultra,/Applications/Proton Authenticator.app
Sing Karaoke,macOS Applications,Application,Unknown,Unknown,Internal M2 Ultra,/Applications/Sing Karaoke.app
FreeFileSync,macOS Applications,Application,14.10,org.freefilesync.FreeFileSync,Internal M2 Ultra,/Applications/FreeFileSync.app
Motion Creator Studio,macOS Applications,Application,6.3,com.apple.motionappApp,Internal M2 Ultra,/Applications/Motion Creator Studio.app
SSH Client,macOS Applications,Application,5.5,com.moontechnolabs.ssh2,Internal M2 Ultra,/Applications/SSH Client.app
Swiftify for Xcode,macOS Applications,Application,6.2,com.Swiftify.Xcode,Internal M2 Ultra,/Applications/Swiftify for Xcode.app
Pixelmator Pro Creator Studio,macOS Applications,Application,4.3,com.apple.pixelmator,Internal M2 Ultra,/Applications/Pixelmator Pro Creator Studio.app
Eve,macOS Applications,Application,Unknown,Unknown,Internal M2 Ultra,/Applications/Eve.app
ColorSlurp,macOS Applications,Application,4.0.3,com.IdeaPunch.ColorSlurp,Internal M2 Ultra,/Applications/ColorSlurp.app
Code Recipes,macOS Applications,Application,4.07,ru.obraztsov.codeSamples,Internal M2 Ultra,/Applications/Code Recipes.app
